Year,EEZ,Catch,Effort,CPUE
1954,Hong Kong,39.44948461,157928.5939,0.000249793
1954,India (mainland),47363.99274,601852.7583,0.078696977
1954,Indonesia,21361.65674,1277611.638,0.016719992
1954,Jamaica,23984.37229,2308534.264,0.010389437
1954,Japan Main Islands,13618.79,3720923.738,0.003660056
1954,Kiribati,5739.252914,432955.1794,0.013255998
1954,Lord Howe Island,1.546264286,11.97373056,0.129138056
1954,Madagascar,7773.221039,72280.92285,0.107541807
1954,Maldives,1926.176905,141954.4272,0.013568981
1954,Marshall Isl.,595.7538568,3316.336757,0.179642148
1954,Martinique (France),905.5353361,373855.7452,0.002422152
1954,Mauritius,2095.96632,51876.8643,0.040402718
1954,Mayotte (France),106.0685959,3968.792589,0.026725659
1954,Mexico,8389.558461,2211625.722,0.00379339
1954,Micronesia (Federated States of),5715.635848,109245.5527,0.052319163
1954,Mozambique,17237.03865,93015.67857,0.18531326
1954,Myanmar,10169.35025,168083.2791,0.060501855
1954,Nauru,18.50365429,1270.170781,0.014567848
1954,New Caledonia (France),1372.983752,89156.01988,0.015399787
1954,Nicaragua,4281.572032,25976.95192,0.164821956
1954,Niue (New Zealand),67.28070261,241.0129886,0.279157995
1954,Northern Marianas (USA),137.3532869,32155.13563,0.004271582
1954,Oman,2551.21582,144358.4074,0.01767279
1954,Palau,772.5303422,1166.525662,0.662248905
1954,Panama (Pacific),1147.176668,368567.3186,0.00311253
1954,Papua New Guinea,10202.13266,413426.8004,0.024676999
1954,Philippines,21761.55255,7411836.035,0.002936054
1954,Puerto Rico (USA),3310.314575,1070168.69,0.003093264
1954,Reunion (France),167.1674283,7797.427647,0.021438792
1954,Saba and Sint Eustaius (Netherlands),860.9804517,608367.7304,0.00141523
1954,Saint Kitts & Nevis,1007.976754,33188.64759,0.030371131
1954,Saint Lucia,304.6099194,15189.93408,0.020053406
1954,Saint Vincent and the Grenadines,598.4313047,14224.22785,0.042071268
1954,Samoa,4482.531323,37266.62285,0.120282735
